factor,phi_aggregate,abs_share,rank
f1,-6.265264633341842e-07,0.2696891835711697,1
f2,-4.963503434192175e-07,0.21365469252429398,2
f3,-4.920786921255544e-07,0.21181595431081449,3
f5,-3.754062459215995e-07,0.16159413830874647,4
f4,-3.3278097467320043e-07,0.14324603128497537,5
