factor,r2_nonlinear,r2_linear,nonlinearity_premium,top_macro
f1,-0.08511873467387088,-0.16191785953100934,0.07679912485713847,"usd_twi, usd_cny, usd_brl"
f2,-0.11931750269753105,-0.11372020042626607,-0.005597302271264981,"tips_10y, usd_dxy, usd_cny"
f3,-0.154062087371456,-0.052355229120531144,-0.10170685825092485,"usd_twi, usd_aud, usd_brl"
f4,-0.00723816745280681,-0.027440376761784346,0.020202209308977537,"usd_twi, tips_10y, usd_cny"
f5,-0.07549291475144182,-0.04770647950662843,-0.02778643524481339,"usd_twi, ust_10y, tips_10y"
