date,f1,f2,f3,f4,f5
2019-04-11,1.1847472190856934,0.0,0.0,1.6705663204193115,1.23476243019104
2019-04-12,0.1065436601638794,0.6057441234588623,1.0223616361618042,0.0,0.27406543493270874
2019-04-15,0.34881865978240967,0.0,0.8957693576812744,1.9140403270721436,0.0
2019-04-16,1.2710766792297363,0.9537326097488403,0.0,1.7901129722595215,0.38326552510261536
2019-04-17,0.012160956859588623,0.7518273591995239,0.1292860507965088,0.44776976108551025,0.96592116355896
2019-04-18,1.6320769786834717,1.4047950506210327,1.6954268217086792,1.4806116819381714,1.1361802816390991
2019-04-23,1.5256376266479492,1.7338221073150635,0.0,0.3698909878730774,0.8959376811981201
2019-04-24,0.0,1.1699241399765015,0.28897804021835327,1.3682150840759277,0.8163604736328125
2019-04-25,1.0502289533615112,0.7006754279136658,0.5975961685180664,1.178284764289856,1.059099793434143
2019-04-26,0.0,0.10231035947799683,1.5102925300598145,0.8074079751968384,1.6948261260986328
2019-04-29,0.07680660486221313,0.2999013066291809,0.0,1.1005421876907349,0.0
2019-04-30,1.2444175481796265,1.3902671337127686,0.1975308060646057,0.3638797700405121,1.2925927639007568
2019-05-07,2.689544916152954,1.810561180114746,0.08243560791015625,2.237210750579834,5.603808403015137
2019-05-08,1.3612756729125977,0.9152848124504089,0.0,1.3475301265716553,0.438414990901947
2019-05-09,0.45048844814300537,1.2682619094848633,0.0,1.4797441959381104,1.7211942672729492
2019-05-10,0.0,0.8801652789115906,0.3790114223957062,0.5495408773422241,0.23951458930969238
2019-05-13,2.375736713409424,1.5122088193893433,1.211817741394043,1.0226143598556519,3.075347900390625
2019-05-14,1.7349265813827515,0.0,2.253187894821167,0.09254562854766846,0.0
2019-05-15,0.7428311705589294,0.0,1.8451813459396362,0.7154117822647095,0.0
2019-05-16,2.382780075073242,0.0,0.9434987902641296,0.27565598487854004,0.0
2019-05-17,0.901009202003479,0.10803133249282837,0.0,1.3371754884719849,1.7167997360229492
2019-05-20,1.9502489566802979,0.3435005247592926,2.2310400009155273,1.3426532745361328,1.28798508644104
2019-05-21,1.2754935026168823,1.019162654876709,0.9636791944503784,0.409004807472229,1.8633055686950684
2019-05-22,0.5250297784805298,0.06041121482849121,0.943272590637207,1.9423613548278809,1.4239786863327026
2019-05-23,0.0,0.4178880453109741,1.2934595346450806,1.9747326374053955,2.744527816772461
2019-05-24,1.0444858074188232,0.0,1.763302206993103,0.0,0.9677217602729797
2019-05-28,2.828572988510132,0.0,2.032360315322876,0.24972212314605713,0.603601336479187
2019-05-29,1.251570701599121,0.9471826553344727,2.093489408493042,3.281374931335449,0.21912509202957153
2019-05-30,1.3619177341461182,0.0,3.397040843963623,0.7815779447555542,2.740114450454712
2019-05-31,0.0,1.164514422416687,1.312180519104004,1.5172665119171143,3.9854791164398193
2019-06-03,0.0,0.6313333511352539,2.475085973739624,0.36592692136764526,3.5161163806915283
2019-06-04,0.5432695150375366,0.9258163571357727,0.7946552038192749,1.1138882637023926,0.194294273853302
2019-06-05,0.0,0.4834480881690979,0.0,2.3176028728485107,1.7786598205566406
