,f1,f2,f3,f4,f5
original,-1.7443093868695602e-07,-4.372644073917401e-07,-1.6450572138354377e-07,7.654999958595222e-08,-1.431243689821304e-07
spanned,-6.660549278985241e-05,3.514742678894672e-05,3.7229434156393534e-05,-6.494570359546544e-05,3.850506061952112e-05
residual,-4.0037535542835343e-07,-6.817050444197719e-07,-7.769583677760287e-07,4.532412057768006e-07,-2.3968617037336453e-07
